point,target_x_m,target_y_m,target_z_m,press_flag,q1_rad,q2_rad,q3_rad,q4_m,q1_deg,q2_deg,q3_deg
home,0.38,0,0.28,0,0,1.60749251715363,-1.98231317286238,0,0,92.1025368317641,-113.578178478202
ink_above,0.38,0.18,0.08,0,0.442374222976745,0.903578547477269,-1.92840089802568,0,25.3461759419467,51.7712372290088,-110.48923266611
ink_press,0.38,0.18,0.02,0.06,0.442374222976745,0.903578547477269,-1.92840089802568,0.06,25.3461759419467,51.7712372290088,-110.48923266611
ink_above,0.38,0.18,0.08,0,0.442374222976745,0.903578547477269,-1.92840089802568,0,25.3461759419467,51.7712372290088,-110.48923266611
paper_above,0.42,-0.18,0.08,0,-0.404891786285083,0.819598872804555,-1.76214999894124,0,-23.1985905136482,46.9595563053806,-100.963757808315
paper_press,0.42,-0.18,0.02,0.06,-0.404891786285083,0.819598872804555,-1.76214999894124,0.06,-23.1985905136482,46.9595563053806,-100.963757808315
paper_above,0.42,-0.18,0.08,0,-0.404891786285083,0.819598872804555,-1.76214999894124,0,-23.1985905136482,46.9595563053806,-100.963757808315
home,0.38,0,0.28,0,0,1.60749251715363,-1.98231317286238,0,0,92.1025368317641,-113.578178478202
