sample,time_s,model_q1,model_q2,model_q3,model_q4,joint_1,joint_2,joint_3,joint_4,joint_5
40,0.78,0.132848681566738,1.39610126072224,-1.96612286551553,0,0.132848681566738,-1.39610126072224,1.96612286551553,-0.570021604793289,0
41,0.8,0.140427273341738,1.38404206661957,-1.96519926033822,0,0.140427273341738,-1.38404206661957,1.96519926033822,-0.581157193718656,0
42,0.82,0.148133242350501,1.37178018752846,-1.9642601316605,0,0.148133242350501,-1.37178018752846,1.9642601316605,-0.592479944132035,0
43,0.84,0.155954758621558,1.35933444751631,-1.96330692120441,0,0.155954758621558,-1.35933444751631,1.96330692120441,-0.603972473688103,0
44,0.86,0.16387970552494,1.34672412678673,-1.96234110562717,0,0.16387970552494,-1.34672412678673,1.96234110562717,-0.615616978840438,0
45,0.88,0.171895711623129,1.33396891099781,-1.96136419263945,0,0.171895711623129,-1.33396891099781,1.96136419263945,-0.627395281641642,0
46,0.9,0.179990182521995,1.32108884058025,-1.96037771712372,0,0.179990182521995,-1.32108884058025,1.96037771712372,-0.639288876543463,0
47,0.92,0.188150332721746,1.30810426005562,-1.95938323725254,0,0.188150332721746,-1.30810426005562,1.95938323725254,-0.651278977196917,0
48,0.94,0.196363217467871,1.2950357673545,-1.95838233060691,0,0.196363217467871,-1.2950357673545,1.95838233060691,-0.66334656325241,0
49,0.96,0.204615764602078,1.28190416313467,-1.95737659029453,0,0.204615764602078,-1.28190416313467,1.95737659029453,-0.675472427159858,0
50,0.98,0.212894806413249,1.26873040009938,-1.9563676210682,0,0.212894806413249,-1.26873040009938,1.9563676210682,-0.687637220968814,0
51,1,0.221187111488372,1.25553553231545,-1.95535703544403,0,0.221187111488372,-1.25553553231545,1.95535703544403,-0.699821503128584,0
52,1.02,0.229479416563496,1.24234066453152,-1.95434644981987,0,0.229479416563496,-1.24234066453152,1.95434644981987,-0.712005785288355,0
53,1.04,0.237758458374666,1.22916690149622,-1.95333748059354,0,0.237758458374666,-1.22916690149622,1.95333748059354,-0.724170579097311,0
54,1.06,0.246011005508874,1.2160352972764,-1.95233174028116,0,0.246011005508874,-1.2160352972764,1.95233174028116,-0.736296443004759,0
55,1.08,0.254223890254999,1.20296680457528,-1.95133083363553,0,0.254223890254999,-1.20296680457528,1.95133083363553,-0.748364029060252,0
56,1.1,0.26238404045475,1.18998222405065,-1.95033635376435,0,0.26238404045475,-1.18998222405065,1.95033635376435,-0.760354129713706,0
57,1.12,0.270478511353616,1.17710215363309,-1.94934987824862,0,0.270478511353616,-1.17710215363309,1.94934987824862,-0.772247724615527,0
58,1.14,0.278494517451804,1.16434693784417,-1.9483729652609,0,0.278494517451804,-1.16434693784417,1.9483729652609,-0.784026027416731,0
59,1.16,0.286419464355187,1.15173661711459,-1.94740714968366,0,0.286419464355187,-1.15173661711459,1.94740714968366,-0.795670532569066,0
60,1.18,0.294240980626244,1.13929087710244,-1.94645393922757,0,0.294240980626244,-1.13929087710244,1.94645393922757,-0.807163062125134,0
61,1.2,0.301946949635007,1.12702899801133,-1.94551481054985,0,0.301946949635007,-1.12702899801133,1.94551481054985,-0.818485812538513,0
62,1.22,0.309525541410007,1.11496980390866,-1.94459120537254,0,0.309525541410007,-1.11496980390866,1.94459120537254,-0.82962140146388,0
63,1.24,0.316965244489212,1.10313161204373,-1.94368452660086,0,0.316965244489212,-1.10313161204373,1.94368452660086,-0.840552914557132,0
64,1.26,0.324254897770977,1.09153218216601,-1.94279613444151,0,0.324254897770977,-1.09153218216601,1.94279613444151,-0.851263952275507,0
65,1.28,0.331383722364986,1.08018866584327,-1.94192734252098,0,0.331383722364986,-1.08018866584327,1.94192734252098,-0.861738676677711,0
66,1.3,0.338341353443193,1.06911755577983,-1.94107941400386,0,0.338341353443193,-1.06911755577983,1.94107941400386,-0.871961858224031,0
67,1.32,0.345117872090772,1.05833463513471,-1.94025355771118,0,0.345117872090772,-1.05833463513471,1.94025355771118,-0.881918922576467,0
68,1.34,0.351703837157054,1.04785492683986,-1.93945092423871,0,0.351703837157054,-1.04785492683986,1.93945092423871,-0.891595997398848,0
69,1.36,0.358090317106479,1.03769264291833,-1.93867260207528,0,0.358090317106479,-1.03769264291833,1.93867260207528,-0.900979959156955,0
70,1.38,0.364268921869534,1.02786113380246,-1.9379196137211,0,0.364268921869534,-1.02786113380246,1.9379196137211,-0.910058479918642,0
71,1.4,0.370231834693697,1.01837283765209,-1.93719291180605,0,0.370231834693697,-1.01837283765209,1.93719291180605,-0.918820074153963,0
72,1.42,0.375971843994388,1.00923922967276,-1.93649337520805,0,0.375971843994388,-1.00923922967276,1.93649337520805,-0.927254145535288,0
73,1.44,0.381482375205903,1.0004707714339,-1.93582180517133,0,0.381482375205903,-1.0004707714339,1.93582180517133,-0.935351033737429,0
