joint,native_unit,max_abs_error,rms_error,final_abs_error,max_abs_velocity_error,max_abs_accel_command,report_unit,max_abs_error_report,rms_error_report,final_abs_error_report
q1,rad,0.00890662806632619,0.00286584151589022,3.62752441957645e-06,0.0344567190981353,1.29656040961131,deg,0.510312197893256,0.164200623613884,0.000207841839322374
q2,rad,0.0082824940093531,0.00292615703728229,7.05893162500359e-06,0.0320421564016221,1.20570363390059,deg,0.474551950578321,0.16765644842878,0.00040444698998413
q3,rad,0.00231439888132146,0.00077608158631428,1.97249565614399e-06,0.00895362325010943,0.336912907918103,deg,0.132605288009519,0.0444661994536262,0.000113015676204939
q4,m,0.000301745264504015,0.000155271417377894,0,0.00487526400000014,0.089517432971735,mm,0.301745264504015,0.155271417377894,0
