sample,time_s,ref_q1,ref_q2,ref_q3,ref_q4,actual_q1,actual_q2,actual_q3,actual_q4,ref_joint_1,ref_joint_2,ref_joint_3,ref_joint_4,ref_joint_5,actual_joint_1,actual_joint_2,actual_joint_3,actual_joint_4,actual_joint_5
11,0.2,0.00378672334868094,1.6014670135732,-1.98185168378978,0,0.00249881854492641,1.60351635129653,-1.98200864112169,0,0.00378672334868094,-1.6014670135732,1.98185168378978,-0.380384670216582,0,0.00249881854492641,-1.60351635129653,1.98200864112169,-0.378492289825157,0
12,0.22,0.00495922764462087,1.5996013032525,-1.98170879035123,0,0.00342902667982293,1.60203618706713,-1.98189527638654,0,0.00495922764462087,-1.5996013032525,1.98170879035123,-0.382107487098721,0,0.00342902667982293,-1.60203618706713,1.98189527638654,-0.379859089319413,0
13,0.24,0.00633431190748233,1.59741324397636,-1.98154120843336,0,0.00455714711052563,1.60024110116609,-1.98175779202251,0,0.00633431190748233,-1.59741324397636,1.98154120843336,-0.384127964456992,0,0.00455714711052563,-1.60024110116609,1.98175779202251,-0.381516690856423,0
14,0.26,0.00792231442285629,1.5948863852753,-1.98134767810631,0,0.00589707486664159,1.59810898356769,-1.98159449463832,0,0.00792231442285629,-1.5948863852753,1.98134767810631,-0.386461292831003,0,0.00589707486664159,-1.59810898356769,1.98159449463832,-0.383485511070624,0
15,0.28,0.00973236314045963,1.59200620258848,-1.9811270869442,0,0.00746108252668434,1.59562030592012,-1.98140388857124,0,0.00973236314045963,-1.59200620258848,1.9811270869442,-0.389120884355726,0,0.00746108252668434,-1.59562030592012,1.98140388857124,-0.385783582651127,0
16,0.3,0.0117724075250793,1.58876004658185,-1.98087846614346,0,0.00925986564919859,1.59275804925463,-1.98118467035048,0,0.0117724075250793,-1.58876004658185,1.98087846614346,-0.392118419561615,0,0.00925986564919859,-1.59275804925463,1.98118467035048,-0.388426621095853,0
17,0.32,0.0140492504075161,1.58513709246639,-1.98060098664113,0,0.0113025987132143,1.58950761497208,-1.9809357218796,0,0.0140492504075161,-1.58513709246639,1.98060098664113,-0.395463894174736,0,0.0113025987132143,-1.58950761497208,1.9809357218796,-0.391428106907528,0
18,0.34,0.0165685798355292,1.58112828931629,-1.98029395523317,0,0.0135969964007176,1.58585672732912,-1.98065610296808,0,0.0165685798355292,-1.58112828931629,1.98029395523317,-0.399165665916879,0,0.0135969964007176,-1.58585672732912,1.98065610296808,-0.394799375638961,0
19,0.36,0.0193350009247798,1.5767263093871,-1.97995681069279,0,0.0161493769070718,1.58179533269753,-1.98034504361562,0,0.0193350009247798,-1.5767263093871,1.97995681069279,-0.403230501305689,0,0.0161493769070718,-1.58179533269753,1.98034504361562,-0.398549710918087,0
20,0.38,0.0223520677097752,1.57192549743402,-1.9795891198888,0,0.0189647252098276,1.57731549888968,-1.98000193630155,0,0.0223520677097752,-1.57192549743402,1.9795891198888,-0.407663622454781,0,0.0189647252098276,-1.57731549888968,1.98000193630155,-0.402686437411872,0
21,0.4,0.0256223149948131,1.56672182002998,-1.97919057390384,0,0.0220467550558539,1.57241131652349,-1.97962632843047,0,0.0256223149948131,-1.56672182002998,1.97919057390384,-0.412468753873867,0,0.0220467550558539,-1.57241131652349,1.97962632843047,-0.407215011906975,0
22,0.42,0.0291472902049254,1.56111281488392,-1.97876098415279,0,0.0253979689740126,1.5670788035292,-1.97921791501846,0,0.0291472902049254,-1.56111281488392,1.97876098415279,-0.417648169268876,0,0.0253979689740126,-1.5670788035292,1.97921791501846,-0.41213911148926,0
23,0.44,0.0329275852368226,1.55509754015894,-1.97830027850102,0,0.0290197159766907,1.56131581333356,-1.97877653166098,0,0.0329275852368226,-1.55509754015894,1.97830027850102,-0.423202738342075,0,0.0290197159766907,-1.56131581333356,1.97877653166098,-0.417460718327425,0
24,0.46,0.0369628683098373,1.54867652379054,-1.97780849738273,0,0.0329122468406234,1.55512194689604,-1.97830214779581,0,0.0369628683098373,-1.54867652379054,1.97780849738273,-0.429131973592193,0,0.0329122468406234,-1.55512194689604,1.97830214779581,-0.423180200899774,0
25,0.48,0.0412519158168689,1.54185171280474,-1.97728578991929,0,0.0370747669980965,1.54849846854735,-1.97779486025715,0,0.0412519158168689,-1.54185171280474,1.97728578991929,-0.435434077114543,0,0.0370747669980965,-1.54849846854735,1.97779486025715,-0.429296391709798,0
26,0.5,0.0457926441753271,1.53462642263635,-1.97673241003749,0,0.041505487152766,1.54144822544862,-1.97725488710705,0,0.0457926441753271,-1.53462642263635,1.97673241003749,-0.442105987401141,0,0.041505487152766,-1.54144822544862,1.97725488710705,-0.435806661658431,0
27,0.52,0.0505821416780763,1.52700528644711,-1.97614871258794,0,0.0462016717796533,1.53397557041732,-1.97668256172474,0,0.0505821416780763,-1.52700528644711,1.97614871258794,-0.449143426140832,0,0.0462016717796533,-1.53397557041732,1.97668256172474,-0.442706991307424,0
28,0.54,0.0556167003443794,1.51899420444392,-1.97553514946333,0,0.0511596856896833,1.52608628783291,-1.97607832713177,0,0.0556167003443794,-1.51899420444392,1.97553514946333,-0.45654094501941,0,0.0511596856896833,-1.52608628783291,1.97607832713177,-0.449992039298856,0
29,0.56,0.0608918477708422,1.510600293197,-1.97489226571674,0,0.056375038844405,1.51778752232686,-1.97544273053042,0,0.0608918477708422,-1.510600293197,1.97489226571674,-0.46429197251974,0,0.056375038844405,-1.51778752232686,1.97544273053042,-0.457655208203557,0
30,0.58,0.0664023789823572,1.50183183495813,-1.97422069568002,0,0.0618424296022698,1.50908770996835,-1.97477641803329,0,0.0664023789823572,-1.50183183495813,1.97422069568002,-0.472388860721881,0,0.0618424296022698,-1.50908770996835,1.97477641803329,-0.465688708064939,0
31,0.6,0.0721423882830475,1.49269822697881,-1.97352115908202,0,0.0675557865680318,1.49999651167274,-1.97408012956308,0,0.0721423882830475,-1.49269822697881,1.97352115908202,-0.480822932103206,0,0.0675557865680318,-1.49999651167274,1.97408012956308,-0.474083617890335,0
32,0.62,0.0781053011072115,1.48320993082844,-1.97279445716697,0,0.0735083092040825,1.49052474858009,-1.97335469390327,0,0.0781053011072115,-1.48320993082844,1.97279445716697,-0.489584526338527,0,0.0735083092040825,-1.49052474858009,1.97335469390327,-0.482829945323179,0
