sample,time_s,segment_index,q1_rad,q2_rad,q3_rad,q4_m,q1dot,q2dot,q3dot,q4dot,q1ddot,q2ddot,q3ddot,q4ddot,stamp_x_m,stamp_y_m,stamp_z_m
1,0,1,0,1.60749251715363,-1.98231317286238,0,0,-0,0,0,0,-0,0,0,0.38,0,0.28
2,0.02,1,4.35765152085472e-06,1.60748558317868,-1.98231264179413,0,0.000650356463909261,-0.0010348591225197,7.92591308511758e-05,0,0.0643787206698057,-0.102440600007001,0.00784585335698508,0,0.380001029075508,1.65591206228773e-06,0.27999827608239
3,0.04,1,3.43367332880766e-05,1.60743787991444,-1.98230898823474,0,0.00254913722248119,-0.00405623385886307,0.000310664092519005,0,0.124855700692956,-0.198672678801456,0.0152162004499105,0,0.380008108252582,1.30482370655034e-05,0.279986415943128
4,0.06,1,0.000114130691556264,1.60731091030589,-1.98229926372191,0,0.00561910373638406,-0.00894122082992459,0.000684801801817001,0,0.181510567429588,-0.288822940897908,0.0221207454882467,0,0.380026946373622,4.33727383879583e-05,0.279954846618246
5,0.08,1,0.000266404127265407,1.60706861002473,-1.98228070611414,0,0.00978461001348883,-0.0155694507468896,0.00119245325974809,0,0.234422948239837,-0.373018090810897,0.0285691926814646,0,0.38006287882308,0.000101250321934125,0.279894594852024
6,0.1,1,0.000512324646984943,1.6066772967875,-1.98225073570909,0,0.0149716026088692,-0.0238230884112344,0.0018245935515046,0,0.283672470483838,-0.451384833054967,0.0345712462390345,0,0.380120862475158,0.000194745303717889,0.279797269327175
7,0.12,1,0.00087159471385781,1.60610561967382,-1.98220695136186,0,0.0211076206248016,-0.0335868327147258,0.00257239184646828,0,0.329338761521727,-0.524049872144657,0.0401366103704271,0,0.38020546752676,0.000331385159591432,0.279655041637153
8,0.14,1,0.0013624834985445,1.60532450844457,-1.98214712660332,0,0.0281217957107651,-0.0447479166394218,0.0034272113982103,0,0.371501448713641,-0.591139912594512,0.0452749892851131,0,0.380320867192094,0.000518181226345259,0.279460626428326
9,0.16,1,0.00200185873016712,1.60430712286008,-1.98206920575843,0,0.0359448520634416,-0.0571961072576709,0.00438060954449123,0,0.410240159419714,-0.65278165891907,0.049996087192563,0,0.380470826119668,0.000761649862263455,0.279207261101134
10,0.18,1,0.00280521854725344,1.60302880199835,-1.98197130006456,0,0.0445091064267157,-0.0708237057321129,0.00542433770726105,0,0.445634521000083,-0.709101815632876,0.0543096083022474,0,0.380658688284059,0.00106783361356602,0.278888685422148
11,0.2,1,0.00378672334868094,1.6014670135732,-1.98185168378978,0,0.0537484680916745,-0.0855255473156779,0.00655034139265916,0,0.477764160814884,-0.76022708725047,0.058225256823637,0,0.380887365004614,0.00144232197223697,0.278499121362613
12,0.22,1,0.00495922764462087,1.5996013032525,-1.98170879035123,0,0.0635984388966081,-0.101199001351587,0.00775076019101437,0,0.506708706224253,-0.806284178286395,0.0617527369662023,0,0.381159323651497,0.0018902713512889,0.278033253443214
13,0.24,1,0.00633431190748233,1.59741324397636,-1.98154120843336,0,0.0739961132270093,-0.117743971273353,0.0090179277768449,0,0.532547784588324,-0.847399793255191,0.064901752939414,0,0.381476577516461,0.00241642394594255,0.277486209829369
14,0.26,1,0.00792231442285629,1.5948863852753,-1.98134767810631,0,0.0848801780155734,-0.135062894604778,0.0103443719088584,0,0.555361023267235,-0.883700636671401,0.0676820089527427,0,0.381840677251205,0.00302512519359579,0.276853544386129
15,0.28,1,0.00973236314045963,1.59200620258848,-1.9811270869442,0,0.0961909127421986,-0.153060742959955,0.0117228144299519,0,0.575228049621121,-0.915313413049566,0.0701032092156589,0,0.382252704209952,0.00372033959168405,0.276131219866935
16,0.3,1,0.0117724075250793,1.58876004658185,-1.98087846614346,0,0.107870189433986,-0.17164502204327,0.0131461712672118,0,0.592228491010117,-0.942364826904229,0.0721750579376333,0,0.382713265974359,0.00450566468028432,0.275315592376009
17,0.32,1,0.0140492504075161,1.58513709246639,-1.98060098664113,0,0.119861472665238,-0.190725771649398,0.014607552431914,0,0.60644197479436,-0.96498158274993,0.0739072593281365,0,0.38322249428749,0.00538434304515541,0.274403397210327
18,0.34,1,0.0165685798355292,1.58112828931629,-1.98029395523317,0,0.132109819557463,-0.210215565663305,0.0161002620195239,0,0.617948128333985,-0.983290385101212,0.0753095175966391,0,0.383780045578518,0.00635927224632294,0.27339173615404
19,0.36,1,0.0193350009247798,1.5767263093871,-1.97995681069279,0,0.144561879779368,-0.230029512060247,0.0176177982096961,0,0.626826578989128,-0.997417938472617,0.0763915369526117,0,0.384385104220311,0.00743301262673862,0.272278066266143
20,0.38,1,0.0223520677097752,1.57192549743402,-1.9795891198888,0,0.157165895546865,-0.250085252905774,0.0191538532662747,0,0.633156954119926,-1.00749094737869,0.0771630216055249,0,0.385036388627176,0.00860779300437404,0.271060190171351
21,0.4,1,0.0256223149948131,1.56672182002998,-1.97919057390384,0,0.16987170162307,-0.270302964355723,0.0207023135372932,0,0.637018881086513,-1.01363611633396,0.0776336757648493,0,0.385732160268894,0.00988551429874156,0.269736247834789
22,0.42,1,0.0291472902049254,1.56111281488392,-1.97876098415279,0,0.182630725318299,-0.290605356656224,0.0222572594549745,0,0.638491987249025,-1.01598014985298,0.0778132036400555,0,0.386470235648979,0.0112677511886663,0.268304709773391
23,0.44,1,0.0329275852368226,1.55509754015894,-1.97830027850102,0,0.195395986490071,-0.310917674143697,0.0238129655357311,0,0.637655899967599,-1.01464975245029,0.0777113094406142,0,0.38724800126891,0.012755751941574,0.266764371631178
24,0.46,1,0.0369628683098373,1.54867652379054,-1.97780849738273,0,0.208122097543111,-0.331167695244855,0.0253639003801646,0,0.63459024660237,-1.00977162864044,0.0773376973759958,0,0.388062431575221,0.0143504365950404,0.265114350021894
25,0.48,1,0.0412519158168689,1.54185171280474,-1.97728578991929,0,0.220765263429342,-0.351285732476697,0.0269047266730662,0,0.629374654513474,-1.00147248293795,0.0767020716556711,0,0.38891010986212,0.016052393708333,0.263354079521158
26,0.5,1,0.0457926441753271,1.53462642263635,-1.97673241003749,0,0.233283281647893,-0.371204632446519,0.0284303011834165,0,0.622088751061048,-0.989879019857383,0.0758141364891107,0,0.389787252078106,0.017861875934645,0.261483310671387
27,0.52,1,0.0505821416780763,1.52700528644711,-1.97614871258794,0,0.245635542245094,-0.390859775851902,0.0299356747643855,0,0.612812163605225,-0.97511794391327,0.0746835960857851,0,0.390689733460555,0.0197787946932204,0.259502108846495
28,0.54,1,0.0556167003443794,1.51899420444392,-1.97553514946333,0,0.25778302781448,-0.410189077480723,0.0314160923533326,0,0.601624519506143,-0.957315959620155,0.0733201546551649,0,0.391613117896942,0.0218027142441516,0.257410853809801
29,0.56,1,0.0608918477708422,1.510600293197,-1.97489226571674,0,0.269688313496786,-0.429132986211146,0.0328669929718066,0,0.588605446123938,-0.936599771492579,0.0717335164067208,0,0.392552689885276,0.0239328454869281,0.255210239787898
30,0.58,1,0.0664023789823572,1.50183183495813,-1.97422069568002,0,0.281315566979951,-0.447634485011627,0.0342840097255457,0,0.573834570818744,-0.913096084045086,0.0699333855499233,0,0.39350348893922,0.0261680398165004,0.252901275875395
31,0.6,1,0.0721423882830475,1.49269822697881,-1.97352115908202,0,0.292630548499117,-0.465639090940913,0.0356629698044777,0,0.557391520950699,-0.886931601792215,0.0679294662942432,0,0.394460346255465,0.0285067833774278,0.250485286580543
32,0.62,1,0.0781053011072115,1.48320993082844,-1.97279445716697,0,0.303600610836628,-0.483094855148043,0.0369998944827194,0,0.539355923879937,-0.85823302924851,0.0657314628491508,0,0.395417923432402,0.0309471920574228,0.247963912319832
33,0.64,1,0.0842839058702659,1.47337842171257,-1.97204146881279,0,0.31419469932203,-0.499952362872345,0.0382909991185774,0,0.519807406966594,-0.827127070928511,0.063349079424117,0,0.396370753000249,0.0334870075561679,0.245339109670572
34,0.66,1,0.0906703858196909,1.46321613779104,-1.97126314664936,0,0.324383351832075,-0.516164733443438,0.0395326931545476,0,0.498825597570807,-0.793740431346762,0.0607920202286123,0,0.397313280494162,0.036123594853645,0.242613151194355
35,0.68,1,0.0972563508859735,1.45273642949619,-1.97046051317689,0,0.334138698790714,-0.531687620281234,0.0407215801173152,0,0.476490123052711,-0.758199815017802,0.0580699894721073,0,0.398239907773796,0.0388539413844522,0.239788624650846
36,0.7,1,0.104032869533552,1.44195350885107,-1.96963465688421,0,0.343434463169102,-0.546479210895933,0.041854457617755,0,0.452880610772443,-0.720631926456175,0.0551926913640726,0,0.39914503726613,0.041674658200868,0.236868431430655
37,0.72,1,0.110990500611759,1.43088239878763,-1.96878672836709,0,0.352245960485598,-0.560500226888027,0.0429283173509311,0,0.428076688090136,-0.681163470176421,0.0521698301139787,0,0.400023116783559,0.0445819833780377,0.233855784047808
38,0.74,1,0.118119325205767,1.41953888246489,-1.96791793644656,0,0.360550098805762,-0.573713923948299,0.0439403450960969,0,0.402157982365929,-0.639921150693083,0.0490111099312964,0,0.400868684547162,0.0475717878799986,0.230754202546415
39,0.76,1,0.125408978487533,1.40793945258717,-1.96702954428721,0,0.368325378742357,-0.586086091857823,0.0448879207166955,0,0.375204120959956,-0.597031672520703,0.0457262350254962,0,0.401676414026232,0.0506395840658343,0.227567509692328
40,0.78,1,0.132848681566738,1.39610126072224,-1.96612286551553,0,0.375551893455349,-0.597585054487964,0.0457686181603591,0,0.347294731232353,-0.552621740173821,0.0423249096060488,0,0.402441158190361,0.0537805369716712,0.22429982483864
41,0.8,1,0.140427273341738,1.38404206661957,-1.96519926033822,0,0.382211328651908,-0.608181669800376,0.0465802054589096,0,0.318509440543256,-0.50681805816698,0.0388168378824246,0,0.403157992760154,0.0569894784572175,0.220955556373486
42,0.82,1,0.148133242350501,1.37178018752846,-1.9642601316605,0,0.388286962586404,-0.617849329847007,0.0473206447283581,0,0.288927876252801,-0.459747331014721,0.0352117240640944,0,0.403822258037629,0.0602609242559134,0.21753939267949
43,0.84,1,0.155954758621558,1.35933444751631,-1.96330692120441,0,0.393763666060411,-0.626563960770092,0.0479880921689051,0,0.258629665721124,-0.411536263231588,0.0315192723605289,0,0.404429598897937,0.0635890939164027,0.214056291556092
44,0.86,1,0.16387970552494,1.34672412678673,-1.96234110562717,0,0.398627902422708,-0.634304022802161,0.0485808980649408,0,0.227694436308361,-0.362311559332121,0.0277491869811984,0,0.40497600253062,0.0669679335709122,0.210511468078377
45,0.88,1,0.171895711623129,1.33396891099781,-1.96136419263945,0,0.402867727569273,-0.641050510266032,0.0490976067850444,0,0.196201815374646,-0.31219992383086,0.0239111721355736,0,0.405457833531363,0.0703911414142412,0.206910380888787
46,0.9,1,0.179990182521995,1.32108884058025,-1.96037771712372,0,0.406472789943288,-0.646786951574814,0.0495369567819849,0,0.164231430280116,-0.261328061242349,0.0200149320331252,0,0.40587186596425,0.0738521957264569,0.203258716940678
47,0.92,1,0.188150332721746,1.30810426005562,-1.95938323725254,0,0.40943433053514,-0.651499409231908,0.0498978805927204,0,0.131862908384908,-0.20982267608113,0.0160701708833238,0,0.406215312039777,0.077344385224089,0.199562374734782
48,0.94,1,0.196363217467871,1.2950357673545,-1.95838233060691,0,0.411745182882415,-0.655176479831005,0.0501795048383986,0,0.0991758770491563,-0.157810472861743,0.01208659289564,0,0.406485847085088,0.0808608414796407,0.195827446110963
49,0.96,1,0.204615764602078,1.28190416313467,-1.95737659029453,0,0.413399773069903,-0.657809294056087,0.0503811502243566,0,0.0662499636329966,-0.105418156098731,0.00807390227954424,0,0.406681630519772,0.0843945731085349,0.192060196677749
50,0.98,1,0.212894806413249,1.26873040009938,-1.9563676210682,0,0.414394119729599,-0.659391516681427,0.0505023315401208,0,0.0331647954965667,-0.0527724303066371,0.00404180324450749,0,0.406801322592468,0.0879385013870994,0.18826704498071
51,1,1,0.221187111488372,1.25553553231545,-1.95535703544403,0,0.414725834040698,-0.659919346571589,0.0505427576594071,0,0,-0,0,0,0.406844096679915,0.0914854969356433,0.184454540527571
52,1.02,1,0.229479416563496,1.24234066453152,-1.95434644981987,0,0.414394119729599,-0.659391516681427,0.0505023315401208,0,-0.033164795496566,0.0527724303066359,-0.00404180324450739,-0,0.406809647000121,0.0950284170777751,0.180629340802608
53,1.04,1,0.237758458374666,1.22916690149622,-1.95333748059354,0,0.413399773069903,-0.657809294056087,0.0503811502243566,0,-0.0662499636329972,0.105418156098732,-0.00807390227954431,-0,0.406698191644177,0.0985601434713931,0.176798187415246
54,1.06,1,0.246011005508874,1.2160352972764,-1.95233174028116,0,0.411745182882415,-0.655176479831005,0.0501795048383986,0,-0.0991758770491565,0.157810472861744,-0.01208659289564,-0,0.406510470885867,0.102073619598632,0.172967881537615
55,1.08,1,0.254223890254999,1.20296680457528,-1.95133083363553,0,0.409434330535139,-0.651499409231908,0.0498978805927204,0,-0.131862908384908,0.209822676081129,-0.0160701708833237,-0,0.406247740783793,0.105561887701684,0.169145258792947
56,1.1,1,0.26238404045475,1.18998222405065,-1.95033635376435,0,0.406472789943288,-0.646786951574814,0.0495369567819849,0,-0.164231430280117,0.26132806124235,-0.0200149320331253,-0,0.405911762146002,0.109018124758907,0.165337163761034
57,1.12,1,0.270478511353616,1.17710215363309,-1.94934987824862,0,0.402867727569273,-0.641050510266032,0.0490976067850444,0,-0.196201815374646,0.31219992383086,-0.0239111721355736,-0,0.40550478498123,0.112435677110813,0.161550424268499
58,1.14,1,0.278494517451804,1.16434693784417,-1.9483729652609,0,0.398627902422708,-0.634304022802161,0.0485808980649408,0,-0.227694436308361,0.362311559332121,-0.0277491869811984,-0,0.405029528612762,0.115808093368162,0.157791825630225
59,1.16,1,0.286419464355187,1.15173661711459,-1.94740714968366,0,0.393763666060411,-0.626563960770093,0.0479880921689051,0,-0.258629665721124,0.411536263231588,-0.0315192723605288,-0,0.404489157679644,0.119129155263987,0.154068085004193
60,1.18,1,0.294240980626244,1.13929087710244,-1.94645393922757,0,0.388286962586403,-0.617849329847007,0.047320644728358,0,-0.288927876252801,0.459747331014721,-0.0352117240640944,-0,0.403887254294777,0.122392906147279,0.150385826015079
61,1.2,1,0.301946949635007,1.12702899801133,-1.94551481054985,0,0.382211328651908,-0.608181669800377,0.0465802054589096,0,-0.318509440543257,0.506818058166981,-0.0388168378824247,-0,0.40322778666942,0.125593676857676,0.146751553792587
62,1.22,1,0.309525541410007,1.11496980390866,-1.94459120537254,0,0.375551893455349,-0.597585054487964,0.0457686181603591,0,-0.347294731232352,0.55262174017382,-0.0423249096060487,-0,0.402515074548352,0.128726108766788,0.143171630558761
63,1.24,1,0.316965244489212,1.10313161204373,-1.94368452660086,0,0.368325378742357,-0.586086091857824,0.0448879207166955,0,-0.375204120959957,0.597031672520704,-0.0457262350254963,-0,0.401753751828775,0.131785173821913,0.139652251884652
64,1.26,1,0.324254897770977,1.09153218216601,-1.94279613444151,0,0.360550098805761,-0.573713923948299,0.0439403450960969,0,-0.40215798236593,0.639921150693085,-0.0490111099312965,-0,0.400948726758799,0.134766191480854,0.136199423721076
65,1.28,1,0.331383722364986,1.08018866584327,-1.94192734252098,0,0.352245960485598,-0.560500226888026,0.042928317350931,0,-0.428076688090137,0.681163470176422,-0.0521698301139788,-0,0.400105140127726,0.137664842481164,0.132818940291032
66,1.3,1,0.338341353443193,1.06911755577983,-1.94107941400386,0,0.343434463169103,-0.546479210895934,0.0418544576177551,0,-0.452880610772443,0.720631926456176,-0.0551926913640726,-0,0.399228321870433,0.140477179442452,0.129516362913009
67,1.32,1,0.345117872090772,1.05833463513471,-1.94025355771118,0,0.334138698790714,-0.531687620281233,0.0407215801173152,0,-0.47649012305271,0.7581998150178,-0.0580699894721071,-0,0.398323746512041,0.143199634355259,0.126296999805302
68,1.34,1,0.351703837157054,1.04785492683986,-1.93945092423871,0,0.324383351832075,-0.516164733443439,0.0395326931545476,0,-0.498825597570807,0.793740431346761,-0.0607920202286123,-0,0.397396987876975,0.145829023063438,0.123165886901912
69,1.36,1,0.358090317106479,1.03769264291833,-1.93867260207528,0,0.31419469932203,-0.499952362872345,0.0382909991185774,0,-0.519807406966594,0.827127070928511,-0.063349079424117,-0,0.396453673478956,0.148362546897902,0.120127769690987
70,1.38,1,0.364268921869534,1.02786113380246,-1.9379196137211,0,0.303600610836628,-0.483094855148043,0.0369998944827194,0,-0.539355923879936,0.858233029248509,-0.0657314628491507,-0,0.395499438995841,0.150797791667235,0.117187086067543
71,1.4,1,0.370231834693697,1.01837283765209,-1.93719291180605,0,0.292630548499117,-0.465639090940913,0.0356629698044777,0,-0.557391520950698,0.886931601792215,-0.0679294662942431,-0,0.394539883216187,0.153132724254009,0.114347950173627
72,1.42,1,0.375971843994388,1.00923922967276,-1.93649337520805,0,0.281315566979951,-0.447634485011626,0.0342840097255457,0,-0.573834570818745,0.913096084045087,-0.0699333855499234,-0,0.393580523823548,0.155365687104164,0.111614137181607
73,1.44,1,0.381482375205903,1.0004707714339,-1.93582180517133,0,0.269688313496786,-0.429132986211146,0.0328669929718066,0,-0.588605446123939,0.936599771492581,-0.0717335164067209,-0,0.392626754360624,0.157495390929692,0.108989068960184
